순번,판매자명,구분,상품명,부제,시리즈명,시리즈번호,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,대여가,정가,판매가,할인액,할인율,마일리지,출간일,분야,수량,장바구니에 담은 날짜
289,알라딘 직배송,국내도서,수학독본 1,,,,8935640379,9.79E+12,44410,한길사,"마츠자카 가즈오 지음, 김태성 옮김",0,"12,000","10,800","1,200",10%,600점,19940101,국내도서>과학>수학>수학 일반,1,2021-09-22
290,알라딘 직배송,국내도서,수학을 배워서 어디에 써먹지?,계산기가 있어도 수학을 알아야 하는 이유,,,K522733124,9.79E+12,3410,아날로그(글담),"루돌프 타슈너 지음, 김지현 옮김",0,"14,500","13,050","1,450",10%,720점,20210805,국내도서>과학>수학>쉽게 배우는 수학,1,2021-09-22
291,알라딘 직배송,국내도서,"통계학, 빅데이터를 잡다",,융합과 통섭의 지식 콘서트 6,71340,898752759X,9.79E+12,3310,한국문학사,조재근 지음,0,"15,800","14,220","1,580",10%,790점,20170705,국내도서>과학>수학>확률/통계학,1,2021-09-22
292,알라딘 직배송,국내도서,"새빨간 거짓말, 통계",,,,898799936X,9.79E+12,3400,더불어책,"대럴 허프 지음, 박영훈 옮김",0,"10,000","9,000","1,000",10%,500점,20040412,국내도서>과학>수학>확률/통계학,1,2021-09-22
293,알라딘 직배송,국내도서,숫자에 약한 사람들을 위한 통계학 수업,데이터에서 세상을 읽어내는 법,,,8901244489,9.79E+12,3410,웅진지식하우스,"데이비드 스피겔할터 지음, 권혜승 외 옮김",0,"22,000","19,800","2,200",10%,"1,100점",20200812,국내도서>과학>수학>확률/통계학,1,2021-09-22
294,알라딘 직배송,국내도서,면역에 관하여,,,,8932918104,9.79E+12,3400,열린책들,"율라 비스 지음, 김명남 옮김",0,"15,000","13,500","1,500",10%,750점,20161125,국내도서>과학>의학,1,2021-09-22
295,알라딘 직배송,국내도서,호흡의 기술,한평생 호흡하는 존재를 위한 숨쉬기의 과학,,,K672738021,9.79E+12,3510,북트리거,"제임스 네스터 지음, 승영조 옮김",0,"19,500","17,550","1,950",10%,970점,20210219,국내도서>과학>인체의 이해,1,2021-09-22
296,알라딘 직배송,국내도서,식욕의 과학,,,,8932321574,9.79E+12,3510,현암사,"앤드루 젠킨슨 지음, 제효영 옮김",0,"20,000","18,000","2,000",10%,"1,000점",20210818,국내도서>과학>인체의 이해,1,2021-09-22
297,알라딘 직배송,국내도서,까면서 보는 해부학 만화,,한빛비즈 교양툰 8,659571,K032630260,9.79E+12,3400,한빛비즈,"압듈라 지음, 신동선 감수",0,"18,500","16,650","1,850",10%,920점,20200619,국내도서>과학>인체의 이해,1,2021-09-22
298,알라딘 직배송,국내도서,파란하늘 빨간지구,"기후변화와 인류세, 지구시스템에 관한 통합적 논의",,,8962622718,9.79E+12,3450,동아시아,조천호 지음,0,"16,000","14,400","1,600",10%,800점,20190329,국내도서>과학>지구과학>기상학/기후,1,2021-09-22
299,알라딘 직배송,국내도서,날마다 구름 한 점,,,,893499178X,9.79E+12,3450,김영사,"개빈 프레터피니 지음, 김성훈 옮김",0,"22,000","19,800","2,200",10%,"1,100점",20210108,국내도서>과학>지구과학>기상학/기후,1,2021-09-22
300,알라딘 직배송,국내도서,"나는 풍요로웠고, 지구는 달라졌다",,,,8934990309,9.79E+12,3450,김영사,"호프 자런 지음, 김은령 옮김",0,"15,500","13,950","1,550",10%,770점,20200907,국내도서>과학>지구과학>기상학/기후,1,2021-09-22
301,알라딘 직배송,국내도서,6도의 멸종,기온이 1도씩 오를 때마다 세상은 어떻게 변할까?,,,8984074497,9.79E+12,3450,세종(세종서적),"마크 라이너스 지음, 이한중 옮김",0,"16,000","14,400","1,600",10%,800점,20140925,국내도서>과학>지구과학>기상학/기후,1,2021-09-22
302,알라딘 직배송,국내도서,이전 세계의 연대기,,,,8967359497,9.79E+12,3400,글항아리,"존 맥피 지음, 김정은 옮김",0,"49,000","44,100","4,900",10%,490점,20210903,국내도서>과학>지구과학>지구,1,2021-09-22
303,알라딘 직배송,국내도서,지구의 깊은 역사,지구의 기원을 찾아가는 장대한 모험,,,8962623838,9.79E+12,3450,동아시아,"마틴 러드윅 지음, 김준수 옮김",0,"20,000","18,000","2,000",10%,"1,000점",20210827,국내도서>과학>지구과학>지구,1,2021-09-22
304,알라딘 직배송,국내도서,"위기의 지구, 물러설 곳 없는 인간",기후변화부터 자연재해까지 인류의 지속 가능한 공존 플랜,서가명강 시리즈 11,659095,8950988496,9.79E+12,4300,21세기북스,남성현 지음,0,"16,000","14,400","1,600",10%,800점,20200603,국내도서>과학>지구과학>지구,1,2021-09-22
305,알라딘 직배송,국내도서,"지구 격동의 이력서, 암석 25","우주, 지구, 생명의 퍼즐로 엮은 지질학 입문",오파비니아 21,12118,896462162X,9.79E+12,3450,뿌리와이파리,"도널드 R. 프로세로 지음, 김정은 옮김",0,"25,000","22,500","2,500",10%,"1,250점",20210709,국내도서>과학>지구과학>지구,1,2021-09-22
306,알라딘 직배송,국내도서,바다해부도감,바다 위아래의 세상에 관한 거의 모든 지식,,,K632734780,9.79E+12,3450,더숲,"줄리아 로스먼 지음, 이경아 옮김, 김웅서 감수",0,"18,000","16,200","1,800",10%,900점,20210820,국내도서>과학>지구과학>해양과학,1,2021-09-22
307,알라딘 직배송,국내도서,그림으로 보는 시간의 역사,결정판,,,8972917354,9.79E+12,3400,까치,"스티븐 호킹 지음, 김동광 옮김",0,"25,000","22,500","2,500",10%,"1,250점",20210415,국내도서>과학>천문학>우주과학,1,2021-09-22
308,알라딘 직배송,국내도서,오무아무아,하버드가 밝혀낸 외계의 첫 번째 신호,,,K862734310,9.79E+12,3440,쌤앤파커스,"아비 로브 지음, 강세중 옮김, 우종학 감수",0,"17,000","15,300","1,700",10%,850점,20210927,국내도서>과학>천문학>우주과학,1,2021-09-22
309,알라딘 직배송,국내도서,코스모스,,사이언스 클래식 4,5452,898371154X,9.79E+12,3440,사이언스북스,"칼 세이건 지음, 홍승수 옮김",0,"45,000","40,500","4,500",10%,"2,250점",20041220,국내도서>과학>천문학>우주과학,1,2021-09-22
310,알라딘 직배송,국내도서,창백한 푸른 점,,,,8983719206,9.79E+12,3440,사이언스북스,"칼 세이건 지음, 현정준 옮김",0,"33,000","29,700","3,300",10%,"1,650점",20011210,국내도서>과학>천문학>우주과학,1,2021-09-22
311,알라딘 직배송,국내도서,천문학 사전,우주와 천체의 원리를 그림으로 쉽게 풀이한,그린북 과학 사전 시리즈,618304,8955883552,9.79E+12,43440,그린북,"후타마세 도시후미 지음, 토쿠마루 유우 그림, 조민정 옮김, 전영범 감수, 나카무라 도시히",0,"18,000","16,200","1,800",10%,900점,20181025,국내도서>과학>천문학>천문학/별자리/역법,1,2021-09-22
312,알라딘 직배송,국내도서,화학으로 이루어진 세상,,,,8990048826,9.79E+12,3430,에코리브르,"크리스틴 메데페셀헤르만 외 지음, 권세훈 옮김, 유국현 감수",0,"27,000","24,300","2,700",10%,"1,350점",20070320,국내도서>과학>화학>쉽게 배우는 화학,1,2021-09-22
313,알라딘 직배송,국내도서,원소의 이름,"신비한 주기율표 사전, 118개 원소에는 모두 이야기가 있다",,,K352732290,9.79E+12,3430,윌북,"피터 워더스 지음, 이충호 옮김",0,"18,000","16,200","1,800",10%,900점,20210610,국내도서>과학>화학>일반화학,1,2021-09-22
314,알라딘 직배송,국내도서,공급사슬관리,개정판,,,K802534857,9.79E+12,93320,생능,서용원 외 지음,0,"28,000","27,160",840,3%,0점,20190222,국내도서>대학교재/전문서적>경상계열>경영학,1,2021-09-22
315,알라딘 직배송,국내도서,소비자행동,"마케팅 전략적 접근, 제7판",,,K262636741,9.79E+12,93320,집현재,이학식 외 지음,0,"35,000","33,950","1,050",3%,0점,20200122,국내도서>대학교재/전문서적>경상계열>광고/마케팅,1,2021-09-22
316,알라딘 직배송,국내도서,IFRS 회계원리,제2판,,,K212536260,9.79E+12,93320,샘북,김기동.임태종 지음,0,"32,000","31,040",960,3%,0점,20170102,국내도서>대학교재/전문서적>경상계열>세무/회계,1,2021-09-22
317,알라딘 직배송,국내도서,IFRS 밀레니엄 회계원리,제11판,,,8955406118,9.79E+12,93320,탐진,신현걸 지음,0,"32,000","31,040",960,3%,0점,20200106,국내도서>대학교재/전문서적>경상계열>세무/회계,1,2021-09-22
318,알라딘 직배송,국내도서,통계학 개론,"엑셀을 이용한 실습, 제3판",,,K892535592,9.79E+12,93310,자유아카데미,강기훈 지음,0,"30,000","29,100",900,3%,0점,20160810,국내도서>대학교재/전문서적>경상계열>통계,1,2021-09-22
319,알라딘 직배송,국내도서,사례로 배우는 확률과 통계,제4판,,,8964213939,9.79E+12,93410,한티미디어,민만식 지음,0,"25,000","24,250",750,3%,0점,20200302,국내도서>대학교재/전문서적>경상계열>통계,1,2021-09-22
320,알라딘 직배송,국내도서,제대로 시작하는 기초 통계학 : Excel 활용,2판,,,K332736714,9.79E+12,93310,한빛아카데미,노경섭 지음,0,"25,000","25,000",0,0%,750점,20210106,국내도서>대학교재/전문서적>경상계열>통계,1,2021-09-22
321,알라딘 직배송,국내도서,통계학 : R을 이용한 분석,,,,K142535471,9.79E+12,93310,자유아카데미,박진호 외 지음,0,"30,000","29,100",900,3%,0점,20160610,국내도서>대학교재/전문서적>경상계열>통계,1,2021-09-22
322,알라딘 직배송,국내도서,창의적 공학설계,3판,,,K242631175,9.79E+12,93560,한빛아카데미(교재),김은경 지음,0,"23,000","23,000",0,0%,690점,20200710,국내도서>대학교재/전문서적>공학계열>공학일반,1,2021-09-22
323,알라딘 직배송,국내도서,기계공작법,"SI단위, 제7판",,,K032433356,9.79E+12,93550,퍼스트북,"Serope Kalpakjian.Steven R. Schmid 지음, 김주한 외 옮김",0,"40,000","40,000",0,0%,"1,200점",20150904,국내도서>대학교재/전문서적>공학계열>기계공학>기계설계/공작,1,2021-09-22
324,알라딘 직배송,국내도서,공업역학 정역학,"SI 단위, 제13판",,,K612533657,9.79E+12,93550,프로텍미디어,"R.C. Hibbeler.Kai Beng Yap 지음, 정현조 외 옮김",0,"34,000","34,000",0,0%,"1,020점",20150305,국내도서>대학교재/전문서적>공학계열>기계공학>기초역학/열역학/역학일반,1,2021-09-22
325,알라딘 직배송,국내도서,신호 및 시스템 (강철호 외),개정판,,,8970508546,9.79E+12,93560,생능,강철호.유지상.박호종 지음,0,"29,000","28,130",870,3%,0점,20151106,국내도서>대학교재/전문서적>공학계열>전기전자공학>신호처리/제어,1,2021-09-22
326,알라딘 직배송,국내도서,동적시스템 자동제어,제8판,,,9813136928,9.79E+12,93550,한티미디어,"진 F. 프랭클린 외 지음, 이재원 외 옮김",0,"40,000","38,800","1,200",3%,0점,20201230,국내도서>대학교재/전문서적>공학계열>전기전자공학>신호처리/제어,1,2021-09-22
327,알라딘 직배송,국내도서,핵심이 보이는 신호 및 시스템,기본 이론부터 MATLAB 실습까지,IT Cookbook 한빛 교재 시리즈 349,13045,6000800683,9.79E+12,93560,한빛아카데미(교재),이철희 지음,0,"28,000","28,000",0,0%,840점,20150109,국내도서>대학교재/전문서적>공학계열>전기전자공학>신호처리/제어,1,2021-09-22
328,알라딘 직배송,국내도서,처음 만나는 자동제어공학,,IT Cookbook 한빛 교재 시리즈 362,13045,K602535253,9.79E+12,93560,한빛아카데미(교재),김성중 지음,0,"18,000","18,000",0,0%,540점,20161212,국내도서>대학교재/전문서적>공학계열>전기전자공학>신호처리/제어,1,2021-09-22
329,알라딘 직배송,국내도서,핵심이 보이는 제어공학,개정판,IT Cookbook 한빛 교재 시리즈 372,13045,K082532435,9.79E+12,93560,한빛아카데미(교재),김성중 지음,0,"26,000","26,000",0,0%,780점,20180228,국내도서>대학교재/전문서적>공학계열>전기전자공학>신호처리/제어,1,2021-09-22
330,알라딘 직배송,국내도서,전기전자공학,,,,K142531623,9.79E+12,93560,북스힐,"Earl Gates 지음, 전기전자공학교재편찬위원회 옮김",0,"30,000","29,100",900,3%,0점,20170905,국내도서>대학교재/전문서적>공학계열>전기전자공학>전기전자 개론,1,2021-09-22
331,알라딘 직배송,국내도서,최신 디지털 공학,,,,K172533433,9.79E+12,93560,시그마프레스,"Thomas L. Floyd 지음, 박기환 외 옮김",0,"39,000","37,830","1,170",3%,0점,20180905,국내도서>대학교재/전문서적>공학계열>전기전자공학>전기전자 개론,1,2021-09-22
332,알라딘 직배송,국내도서,처음 만나는 전자기학,,IT Cookbook 한빛 교재 시리즈 358,13045,K212535183,9.79E+12,93560,한빛아카데미(교재),곽동주 지음,0,"23,000","23,000",0,0%,690점,20160630,국내도서>대학교재/전문서적>공학계열>전기전자공학>전자기학,1,2021-09-22
333,알라딘 직배송,국내도서,핵심 화학반응공학,Second Edition,,,K422638305,9.79E+12,93430,한티에듀,"H. Scott Fogler 지음, 이윤우 옮김",0,"35,000","33,950","1,050",3%,0점,20200220,국내도서>대학교재/전문서적>공학계열>화학/금속/재료공학>화학공학 기초,1,2021-09-22
334,알라딘 직배송,국내도서,수목생리학,전면개정판,,,895212961X,9.79E+12,93520,서울대학교출판부,이경준 지음,0,"22,000","22,000",0,0%,"1,100점",20210830,국내도서>대학교재/전문서적>농축산생명계열>농림수산학,1,2021-09-22
335,알라딘 직배송,국내도서,Kuby 면역학,제8판,,,K662637506,9.79E+12,93510,범문에듀케이션,"Jenni Punt 외 지음, 대한미생물학회 옮김",0,"55,000","53,350","1,650",3%,0점,20200302,국내도서>대학교재/전문서적>의약학간호계열>기초의학>면역학,1,2021-09-22
336,알라딘 직배송,국내도서,약제학 실습,,신일북스 약제학총서 4,56284,895702350X,9.79E+12,,신일북스,약제학분과회 지음,0,"15,000","15,000",0,0%,450점,20130215,국내도서>대학교재/전문서적>의약학간호계열>약학>약제학/제재학,1,2021-09-22
337,알라딘 직배송,국내도서,근육뼈대계통 Palpation Road Map,"손으로 근육, 뼈, 기타 조직의 위치를 찾기 위한 안내서, 제6판",,,K662739139,9.79E+12,93510,범문에듀케이션,"Andrew Biel 지음, 채윤원 옮김",0,"50,000","48,500","1,500",3%,0점,20210302,국내도서>대학교재/전문서적>의약학간호계열>외과>정형외과,1,2021-09-22
338,알라딘 직배송,국내도서,최신정신의학,제6판,,,8933706968,9.79E+12,93510,일조각,민성길 지음,0,"60,000","60,000",0,0%,"1,800점",20150325,국내도서>대학교재/전문서적>의약학간호계열>의학 일반>정신의학,1,2021-09-22
339,알라딘 직배송,국내도서,인지행동치료 이론과 실제,제2판,,,K542536390,9.79E+12,93510,하나의학사,"JUDITH S. BECK 외 지음, 최영희 외 옮김",0,"28,000","27,160",840,3%,0점,20170309,국내도서>대학교재/전문서적>의약학간호계열>임상의학>신경정신과,1,2021-09-22
340,알라딘 직배송,국내도서,보건인을 위한 안과학,6판,,,8960697788,9.79E+12,93510,학지사메디컬,"A. K. Khurana 지음, 한국안경광학과교수협의회 옮김",0,"50,000","48,500","1,500",3%,0점,20190228,국내도서>대학교재/전문서적>의약학간호계열>임상의학>안과,1,2021-09-22
341,알라딘 직배송,국내도서,그림과 마인드맵 의학용어,5판,,,8960695963,9.79E+12,93510,정담미디어,정형재 외 지음,0,"32,000","31,040",960,3%,0점,20170125,국내도서>대학교재/전문서적>의약학간호계열>참고도서/백서,1,2021-09-22
342,알라딘 직배송,국내도서,역사 속의 동서문화교류,개정증보판,,,8971573562,9.79E+12,93900,강원대학교출판부,권오신 외 지음,0,"15,000","14,550",450,3%,0점,20160824,국내도서>대학교재/전문서적>인문계열>역사학,1,2021-09-22
343,알라딘 직배송,국내도서,최신 대학물리학 2,5판,최신 대학물리학 2,1005863,K182734300,9.79E+12,,북스힐,"Raymond A. Serway 외 지음, 대학물리학교재편찬위원회 옮김",0,"25,000","24,250",750,3%,0점,20180305,국내도서>대학교재/전문서적>자연과학계열>물리학,1,2021-09-22
344,알라딘 직배송,국내도서,양자역학,제3판,,,899354381X,9.79E+12,93420,텍스트북스(TextBook),"David J. Griffiths.Darrell F. Schroeter 지음, 최준곤 옮김",0,"28,000","27,160",840,3%,0점,20190301,국내도서>대학교재/전문서적>자연과학계열>물리학,1,2021-09-22
345,알라딘 직배송,국내도서,생물공정공학,제3판,,,8964213319,9.79E+12,93570,한티미디어,"Michael L. Shuler.Fikret Kargi.Matthew DeLisa 지음,",0,"35,000","33,950","1,050",3%,0점,20180302,국내도서>대학교재/전문서적>자연과학계열>생물학,1,2021-09-22
346,알라딘 직배송,국내도서,발생생물학,제11판,,,8961542958,9.79E+12,93470,라이프사이언스,"Scott F. Gilbert.Michael J. F. Barresi 지음, 전상학 외 옮",0,"55,000","55,000",0,0%,"1,650점",20180901,국내도서>대학교재/전문서적>자연과학계열>생물학,1,2021-09-22
347,알라딘 직배송,국내도서,세상을 바꾸는 생명과학,2판,,,8961543261,9.79E+12,93470,라이프사이언스,서영훈 외 지음,0,"35,000","35,000",0,0%,"1,050점",20200901,국내도서>대학교재/전문서적>자연과학계열>생물학,1,2021-09-22
348,알라딘 직배송,국내도서,미분적분학과 그 응용 (이정례 외),,,,8961058703,9.79E+12,93,경문사(경문북스),이정례 외 지음,0,"18,000","17,460",540,3%,0점,20150901,국내도서>대학교재/전문서적>자연과학계열>수학,1,2021-09-22
349,알라딘 직배송,국내도서,프리드버그 선형대수학,5판,,,K552630067,9.79E+12,,한빛아카데미(교재),"스티븐 H. 프리드버그.아놀드 J. 인셀.로렌스 E. 스펜스 지음, 한빛수학교재연구소 옮김",0,"35,000","35,000",0,0%,"1,050점",20200605,국내도서>대학교재/전문서적>자연과학계열>수학,1,2021-09-22
350,알라딘 직배송,국내도서,4차 산업혁명 시대의 이산수학,개정판,,,8970509801,9.79E+12,93410,생능,김대수 지음,0,"29,000","28,130",870,3%,0점,20190610,국내도서>대학교재/전문서적>자연과학계열>수학,1,2021-09-22
351,알라딘 직배송,국내도서,누구나 파이썬 통계분석,,,,K472639060,9.79E+12,,한빛아카데미(교재),"타니아이 히로키 지음, 권기태 옮김, 츠지 신고 감수",0,"26,000","23,400","2,600",10%,"1,300점",20200406,국내도서>대학교재/전문서적>자연과학계열>수학,1,2021-09-22
352,알라딘 직배송,국내도서,이공계생을 위한 확률과 통계,2판,,,K222732120,9.79E+12,93410,한빛아카데미(교재),안승철.이광연.박기섭 지음,0,"25,000","25,000",0,0%,750점,20210607,국내도서>대학교재/전문서적>자연과학계열>수학,1,2021-09-22
353,알라딘 직배송,국내도서,미분적분학 : 대학수학의 첫걸음,,,,K042737327,9.79E+12,93410,한빛아카데미(교재),수학교재편찬위원회 지음,0,"28,000","28,000",0,0%,"1,400점",20210106,국내도서>대학교재/전문서적>자연과학계열>수학,1,2021-09-22
354,알라딘 직배송,국내도서,MSE 확률과 통계 입문,,MSE 시리즈,66342,K422531498,9.79E+12,93560,한빛아카데미(교재),이재원 지음,0,"20,000","20,000",0,0%,600점,20170710,국내도서>대학교재/전문서적>자연과학계열>수학,1,2021-09-22
355,알라딘 직배송,국내도서,최신분석화학,제5판,,,8973385976,9.79E+12,93430,자유아카데미,"DANIEL C. HARRIS 지음,박정학 외 옮김",0,"40,000","38,800","1,200",3%,0점,20130201,국내도서>대학교재/전문서적>자연과학계열>화학,1,2021-09-22
356,알라딘 직배송,국내도서,줌달의 기본 일반화학,제9판,,,8962184826,9.79E+12,,센게이지러닝(Cengage Learning),"Steven S. Zumdahl 지음, 화학교재연구회 옮김",0,"42,000","42,000",0,0%,420점,20201218,국내도서>대학교재/전문서적>자연과학계열>화학,1,2021-09-22
357,알라딘 직배송,국내도서,McMurry 핵심일반화학,제8판,,,K472637004,9.79E+12,93430,자유아카데미,"John McMurry 지음, 화학교재연구회 옮김",0,"39,000","37,830","1,170",3%,0점,20200305,국내도서>대학교재/전문서적>자연과학계열>화학,1,2021-09-22
358,알라딘 직배송,국내도서,만화로 읽는 사마천의 사기 1,중국사의 시작,,,K312639706,9.79E+12,7910,휴머니스트,이희재 지음,0,"14,000","12,600","1,400",10%,700점,20200504,국내도서>만화>교양만화>인문/교양,1,2021-09-22
359,알라딘 직배송,국내도서,만화로 읽는 사마천의 사기 7,"초한쟁패와 한 제국, 완결",,,K602733287,9.79E+12,7910,휴머니스트,이희재 지음,0,"14,000","12,600","1,400",10%,700점,20210630,국내도서>만화>교양만화>인문/교양,1,2021-09-22
360,알라딘 직배송,국내도서,유럽 역사에서 본 로마법,,레퍼런스 시리즈,1004452,K102734880,9.79E+12,3300,읻다,"피터 스타인 지음, 김기창 옮김",0,"15,000","13,500","1,500",10%,750점,20210820,국내도서>사회과학>법과 생활>법률이야기/법조인이야기,1,2021-09-22
361,알라딘 직배송,국내도서,법으로 읽는 유럽사,"세계의 기원, 서양 법의 근저에는 무엇이 있는가",,,8967354738,9.79E+12,93360,글항아리,한동일 지음,0,"22,000","19,800","2,200",10%,"1,100점",20180112,국내도서>사회과학>법과 생활>법률이야기/법조인이야기,1,2021-09-22
362,알라딘 직배송,국내도서,모두가 기분 나쁜 부동산의 시대,,,,K642733331,9.79E+12,3300,빅피시,김민규 지음,0,"16,500","14,850","1,650",10%,820점,20210811,국내도서>사회과학>비평/칼럼>한국사회비평/칼럼,1,2021-09-22
363,알라딘 직배송,국내도서,한국의 능력주의,한국인이 기꺼이 참거나 죽어도 못 참는 것에 대하여,,,K762734228,9.79E+12,3330,이데아,박권일 지음,0,"18,000","16,200","1,800",10%,900점,20210913,국내도서>사회과학>사회문제>빈곤/불평등문제,1,2021-09-22
364,알라딘 직배송,국내도서,꼬리에 꼬리를 무는 그날 이야기,장도연·장성규·장항준이 들려주는 가장 사적인 근현대사 실황,,,8962623684,9.79E+12,3300,동아시아,SBS〈꼬리에 꼬리를 무는 그날 이야기〉 제작팀 지음,0,"15,000","13,500","1,500",10%,750점,20210420,국내도서>사회과학>사회문제>사회문제 일반,1,2021-09-22
365,알라딘 직배송,국내도서,"행복한 감시국가, 중국",디지털기술과 선택 설계로 만든 ‘멋진 신세계’,,,K512733996,9.79E+12,3300,눌와,"가지타니 가이.다카구치 고타 지음, 박성민 옮김",0,"13,800","12,420","1,380",10%,690점,20210709,국내도서>사회과학>사회문제>사회문제 일반,1,2021-09-22
366,알라딘 직배송,국내도서,자본론 1 - 상,"2015년 개역판, 정치경제학비판",자본론 1,99437,8937604329,9.79E+12,94230,비봉출판사,"카를 마르크스 지음, 김수행 옮김",0,"23,000","20,700","2,300",10%,"1,150점",20151120,국내도서>사회과학>사회사상/사회사상사>마르크스주의>고전 마르크스주의,1,2021-09-22
367,알라딘 직배송,국내도서,자본론 부록,"2015년 개역판, 정치경제학비판",자본론,99437,893760437X,9.79E+12,94320,비봉출판사,"카를 마르크스 지음, 김수행 옮김",0,"9,000","8,100",900,10%,450점,20151120,국내도서>사회과학>사회사상/사회사상사>마르크스주의>고전 마르크스주의,1,2021-09-22
368,알라딘 직배송,국내도서,자본론 1 - 하,"2015년 개역판, 정치경제학비판",자본론 1,99437,8937604337,9.79E+12,94320,비봉출판사,"카를 마르크스 지음, 김수행 옮김",0,"23,000","20,700","2,300",10%,"1,150점",20151120,국내도서>사회과학>사회사상/사회사상사>마르크스주의>고전 마르크스주의,1,2021-09-22
369,알라딘 직배송,국내도서,애덤 스미스 국부론,번영과 상생의 경제학,리더스 클래식,641728,896570653X,9.79E+12,4080,쌤앤파커스,이근식 지음,0,"13,000","11,700","1,300",10%,650점,20180727,국내도서>사회과학>사회사상/사회사상사>사회사상/사회사상사 일반,1,2021-09-22
370,알라딘 직배송,국내도서,앎의 나무,,아우또노미아총서 12,14553,8986114976,9.79E+12,4300,갈무리,"움베르토 마투라나.프란시스코 바렐라 지음, 최호영 옮김",0,"18,000","16,200","1,800",10%,900점,20070505,국내도서>사회과학>사회사상/사회사상사>사회사상/사회사상사 일반,1,2021-09-22
371,알라딘 직배송,국내도서,한국 사회과학의 기원,이데올로기와 근대화의 이론 체계,한국연구총서 101,85765,8976964470,9.79E+12,93910,역사비평사,홍정완 지음,0,"30,000","27,000","3,000",10%,"1,500점",20210914,국내도서>사회과학>사회사상/사회사상사>사회사상/사회사상사 일반,1,2021-09-22
372,알라딘 직배송,국내도서,프루동 평전,,,,K152733015,9.79E+12,3990,한티재,"조지 우드코크 지음, 하승우 옮김",0,"24,000","21,600","2,400",10%,"1,200점",20210802,국내도서>사회과학>사회사상/사회사상사>사회사상/사회사상사 일반,1,2021-09-22
373,알라딘 직배송,국내도서,사회학자와 역사학자,,,,K952635075,9.79E+12,90300,킹콩북,"피에르 부르디외.로제 샤르티에 지음, 이상길.배세진 옮김",0,"13,000","11,700","1,300",10%,650점,20190405,국내도서>사회과학>사회사상/사회사상사>사회사상/사회사상사 일반,1,2021-09-22
374,알라딘 직배송,국내도서,근대화라는 이데올로기,,트랜스 소시올로지 29,5154,8976828747,9.79E+12,93300,그린비,"마이클 레이섬 지음, 권혁은 외 옮김",0,"25,000","23,750","1,250",5%,750점,20210803,국내도서>사회과학>사회사상/사회사상사>사회사상/사회사상사 일반,1,2021-09-22
375,알라딘 직배송,국내도서,네덜란드 케어팜을 가다,돌봄과 복지가 농업과 만나는,,,K192633472,9.79E+12,3300,그물코,조예원 지음,0,"15,000","13,500","1,500",10%,750점,20200910,국내도서>사회과학>사회운동>사회운동 일반,1,2021-09-22
376,알라딘 직배송,국내도서,2050 거주불능 지구,한계치를 넘어 종말로 치닫는 21세기 기후재난 시나리오,,,K052638443,9.79E+12,3300,추수밭(청림출판),"데이비드 월러스 웰즈 지음, 김재경 옮김",0,"19,800","17,820","1,980",10%,990점,20200422,국내도서>사회과학>사회학>사회학 일반,1,2021-09-22
377,알라딘 직배송,국내도서,자폐의 거의 모든 역사,자폐는 어떻게 질병에서 축복이 되었나,,,K082732225,9.79E+12,3300,꿈꿀자유,"존 돈반.캐런 저커 지음, 강병철 옮김",0,"40,000","36,000","4,000",10%,"2,000점",20210601,국내도서>사회과학>사회학>사회학 일반,1,2021-09-22
378,알라딘 직배송,국내도서,정치적 부족주의,집단 본능은 어떻게 국가의 운명을 좌우하는가,,,8960517801,9.79E+12,3340,부키,"에이미 추아 지음, 김승진 옮김",0,"20,000","18,000","2,000",10%,"1,000점",20200416,국내도서>사회과학>정치학/외교학/행정학>세계패권과 국제질서,1,2021-09-22
379,알라딘 직배송,국내도서,군주론,,현대지성 클래식 38,112548,K262733021,9.79E+12,3160,현대지성,"니콜로 마키아벨리 지음, 김운찬 옮김",0,"7,700","6,930",770,10%,380점,20210726,국내도서>사회과학>정치학/외교학/행정학>외교정책/외교학,1,2021-09-22
380,알라딘 직배송,국내도서,중국 갑질 2천 년,,,,8965235812,9.79E+12,3340,기파랑(기파랑에크리),황대일 지음,0,"16,000","14,400","1,600",10%,800점,20210915,국내도서>사회과학>정치학/외교학/행정학>외교정책/외교학,1,2021-09-22
381,알라딘 직배송,국내도서,자유론,,고전의세계 리커버,927946,K612532131,9.79E+12,4160,책세상,"존 스튜어트 밀 지음, 서병훈 옮김",0,"8,900","8,010",890,10%,440점,20180330,국내도서>사회과학>정치학/외교학/행정학>정치학 일반,1,2021-09-22
382,알라딘 직배송,국내도서,혼돈의 시대 리더의 탄생,,,,K682638681,9.79E+12,,커넥팅(Connecting),"도리스 키언스 굿윈 지음, 강주헌 옮김",0,"26,800","24,120","2,680",10%,"1,340점",20200304,국내도서>사회과학>정치학/외교학/행정학>정치학 일반,1,2021-09-22
383,알라딘 직배송,국내도서,지리의 힘,"지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가",,,8993178690,9.79E+12,3300,사이,"팀 마샬 지음, 김미선 옮김",0,"17,000","15,300","1,700",10%,850점,20160810,국내도서>사회과학>지리학/지정학>지리학,1,2021-09-22
